index,instance_id,isDemo,num_agents,num_items,instance_size,value,allocation
0,18,0,3,5,15,"[[500, 0, 0, 125, 375], [0, 500, 167, 83, 250], [0, 1000, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0, 1.0], [0.0, 1.0, 0.0, 0.0, 0.0]]"
1,19,0,3,5,15,"[[500, 0, 0, 125, 375], [0, 542, 125, 83, 250], [0, 1000, 0, 0, 0]]","[[1.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 1.0, 0.0, 1.0], [0.0, 1.0, 0.0, 0.0, 0.0]]"
2,23,0,2,3,6,"[[1000, 0, 0], [0, 1000, 0]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
3,24,0,3,3,9,"[[584, 416, 0], [637, 363, 0], [628, 0, 372]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.0, 1.0]]"
4,25,0,2,3,6,"[[1000, 0, 0], [1000, 0, 0]]","[[1.0, 1.0, 1.0], [0.0, 0.0, 0.0]]"
5,26,0,3,3,9,"[[972, 28, 0], [984, 16, 0], [981, 0, 19]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.0, 1.0]]"
6,27,0,3,3,9,"[[949, 12, 39], [924, 24, 52], [916, 52, 32]]","[[1.0, 0.0, 0.0], [0.0, 0.0, 1.0], [0.0, 1.0, 0.0]]"
7,28,0,2,3,6,"[[598, 219, 183], [651, 201, 148]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
8,29,0,3,3,9,"[[646, 354, 0], [628, 372, 0], [641, 0, 359]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
9,31,0,3,3,9,"[[1000, 0, 0], [0, 1000, 0], [0, 50, 950]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
